track_id,tsne-one,tsne-two,tsne-three
4cg1yakyRSIOjxKM2I7J1q,-3.7335112,-2.5391293,1.8234544
61mnlyQlnPuq1GEX0LxIWh,5.782341,-2.978372,-1.5006162
4pYZLpX23Vx8rwDpJCpPTA,-0.51155186,-2.0175989,9.359535
23SryQFx36SXmuAj7tXxec,-1.9118485,3.8285525,8.411033
0yh0Z3uNRLsDcvBtkVhhIJ,-2.709305,0.98408127,5.9297237
1yWas3061dbaZF9Zq6kfKZ,-0.98665994,-4.171481,4.937553
5ZWwLNhwmJXM7yKZJ5sxN1,1.4096414,1.7640197,-7.051035
2LLFl56eIFGFlnrplUC26f,2.027586,4.667623,-6.299856
3K0sVapHNSSeJ8o4DLHOJY,-1.3821523,-3.416561,4.207768
5UVNjOSh27encRBqTpBWup,4.2876425,-4.9494653,0.23900206
6WlxcZKpEV6Bwe9InoVhMp,2.9741054,-5.2253065,1.3459078
7MywASx2OFZngfoORjo1yy,2.4904344,-4.485985,-4.601723
0urHaAHTNeprwQuj4QzY1Q,-6.4890027,-1.4427047,-3.7665038
3ee8Jmje8o58CHK66QrVC2,5.173565,3.402197,-0.09810272
0JP9xo3adEtGSdUEISiszL,5.5974584,-2.3817358,-3.1999872
7AQim7LbvFVZJE3O8TYgf2,4.3222504,-4.165158,5.041107
7J2gyNghNTzl4EsLhXp01Q,2.2365263,8.107356,-2.7834172
4UKCKdYiLN6IMA5ZESUTL7,5.6224837,-3.7539845,4.175335
3wGXyJGsCf1myH5MooQIqE,-4.237422,-5.9736257,-1.1208457
43PuMrRfbyyuz4QpZ3oAwN,4.138702,-4.3071947,7.285118
5WoaF1B5XIEnWfmb5NZikf,4.290337,-3.9750304,7.2819905
3JWh19WsndEFg0UFRFeTiU,2.8232825,0.2914127,-8.7303095
4dVpf9jZjcORqGTLUaeYj9,-4.955138,-5.4332094,-1.1442075
7xC7Dv9kSpPKqel8iyYNLJ,1.400767,3.472996,9.100854
1e1JKLEDKP7hEQzJfNAgPl,1.6718365,-0.19898467,-8.371683
5Uj2at1EGAaWCrLyEUuXBp,0.33167586,0.14984846,10.610028
6k0DJqW2v2e4809Z1zN0YU,1.792862,4.012134,9.932906
39hnH8WdPmNT3Q3yzwC9Rg,1.5823852,-10.145574,0.08823739
3i1B1PnsfnOQPGVIzhf1lr,-2.042304,5.156367,-6.3419437
6JzvfFCIFT1CbbHE1pDNBU,2.3398416,-8.216195,1.919704
3fNH4etsltJRU7NsgU9RVe,6.441285,-1.811242,-2.5304022
1uDjaezEbalGyGnuH80zDK,1.0531874,-9.285886,3.1412191
5SsR3wtCOafDmZgvIdRhSm,-4.87087,0.536845,4.294347
2yJ9GVCLMmzBBfQAnfzlwr,6.580547,0.96621084,4.342308
51rXHuKN8Loc4sUlKPODgH,-4.8475237,-3.2318683,2.4715822
0U6DEXxx5D727xgg76jYkR,1.3161443,2.0188859,8.872298
6zaywrggIpaM7Ghgvgjb8R,-1.5846126,3.9185057,9.765117
4lboLlUWSw20PU2qcYgUny,-4.093757,2.0799282,8.853375
64ydkbrt0xhdJXRaam06Mc,2.692911,-0.77421224,8.923657
63cd4JkwGgYJrbOizbfmsp,-2.3254344,-4.9452505,7.839105
0tPShxf8VJUH6RBDEP3tVB,0.09738054,-3.2107422,5.0129976
7eBqSVxrzQZtK2mmgRG6lC,0.8006316,3.6400218,-3.5063353
3XmKQDhplvk0wtPMuHOTHL,-6.981821,2.012308,-4.097811
0hGShmLW8OxtW5J1vv0iE9,-2.967209,-4.609001,-7.2053924
6Tb8Fse6LfJ0CRZVlNjHF5,-3.7861679,-3.4719844,3.3751204
1Szfm2XAx3Kgl55dyl8sTU,2.6377141,-7.7088227,-0.9985449
5AjINjwKyRvQJhSe2zpPHi,0.8189664,3.4283612,9.756477
3OKjDHmSJVKOn6V4hCR8bq,5.520114,2.175928,1.4654756
4ijoZsRr3IIGo8d8ZYOL2R,3.759414,-3.8590646,5.796959
7f1zjZG77S891Uv4O68yfk,5.2699466,7.031574,-0.7827251
0rrVn0KMlLHtAklzUrrfoj,-1.4048424,-4.8931184,-5.2702813
3WyRgi8CzQnhzO0xw79tTS,-3.1200483,-3.26999,-6.1752815
5XWGkQWu3p4Ly3K4xi6trF,0.9626539,5.2021575,8.775749
52i143Ph5c3RQaQFBXWix1,5.1242757,-3.7231333,3.095502
1Scp8ar1dnJOaSVEMIiB80,5.8582993,-2.05769,-3.3466296
1xbtojAZsQjOgiGdGX6ChU,-2.6804864,0.6339849,9.884154
7EAaSaj1OgZgMX5yZyFXFC,0.98448634,-2.3341942,3.820684
5ry2OE6R2zPQFDO85XkgRb,1.7583634,0.48919,3.8277779
0b6UoVjUzFyZNpHI0aAhKt,-0.3708906,8.869241,-1.6085086
77XX5hXetVXqpocVnbPhzT,3.0445156,-6.7020454,3.0529675
7i3NiyX4x4WZ8xZjIXWi4s,5.790598,-4.6714416,2.2183068
6KCt9V6Lev0M04rFUj8ANC,0.6667418,-4.214157,-1.6476659
2WqTKOAUmv7hz9ZzGnXHrY,1.2865881,-2.4444091,-5.491319
3GxGAhRowXixzk521JQpZu,1.3833662,-2.8578732,3.655913
2wZjsbwmWfNVslgV5afl1L,-1.6232582,-2.9214756,2.7446256
38nyi6J4H44dXpf0PE3bWE,4.9124312,-1.3059555,-4.7054505
2pQ4sMgskv2XeGCInss0qB,0.71259856,-3.8883538,-5.7006354
0uQzOOq3aC9mszrmLLYoU3,3.1281564,-3.4187758,-9.828781
7mv4eldXEFbf3s3ZEfbmlC,-8.803403,-0.5028979,-4.0861044
0XOMoQbYxYPVLxwK4VDmNA,-4.733417,-3.2076907,3.2220485
1zIb1bYJAo1UdR2Xf4oESb,-4.7781544,-2.8616018,4.7996063
1iTWoKAdilGEmit6xhQZje,2.9261212,-5.9266853,3.9280226
2zjGJ0dChMR0KxBZS15aqo,1.5073977,0.22182229,3.1355526
2n5gVJ9fzeX2SSWlLQuyS9,0.88603383,4.2703195,-5.887667
61zTSexBvC42Db8jxMHuKx,-4.1000957,-1.5567398,3.8434298
4NwfHcBSQ604NUvEMvHstw,3.0499918,-1.2124794,-6.283764
7cW1wHpSLYgKWzoWlOCPFJ,-0.99869937,-8.028136,-0.45391595
39RWYLt6hgk9BbhkDgaHW9,4.3081827,-5.115582,-0.8757146
3AEgic4yp82NxMWUjHtxnO,6.5992823,-6.266782,0.9784644
2nKYHpmwjLaEOXS3o7QMiz,3.4816546,-6.632911,-0.5781348
1GeNui6m825V8jP4uKiIaH,4.965886,-1.3184927,-4.6911783
5Z8HZM6iQMhhqyPcCGY5g9,5.017169,-0.033972286,-3.4678397
6igOR5QCn09zAVF2ikZjsV,1.5012436,-5.5516996,-1.9718
3pTScODwk9tggZzmuH6xDY,3.5900567,-6.378988,3.4060774
5UmRDaMPkV6g2HVMWoKx8u,4.518497,-5.0706096,-2.8172154
3s4mrPrEFFPF0LmAfutW0n,5.065192,-3.4206192,0.83665293
369g3Kv6MXsl0wn7PNtWvO,2.1576111,0.65324223,-8.27095
5TnLXSd4h6G06Fbt2ApOpa,1.3533075,-1.0769094,2.2828984
0zNHMc1cGKe4MO5rtGtKRh,4.06476,-8.958899,-4.310838
1wJRveJZLSb1rjhnUHQiv6,0.4897117,9.556156,-2.2910361
5YGhm6pI5s0uxJ2DwrDYqO,0.6327574,-5.777361,-1.1987505
5KPuc7JG5IrI40t98BRrjt,-0.92238516,-6.8859553,-1.3772794
4sWuPniHClkInYAnzXAYUF,-1.6594822,0.9669821,-9.654738
4dAMdQ6g4kGmnc1MDHsg77,3.0347688,-7.0993958,-0.83692324
2bQxqezLVNiJVeLO0RWPON,-0.209788,4.929826,-5.4580317
4B7fTyj1FIPvP9tT5X3DnR,-1.7842357,-3.4174192,2.1858392
3cuykPS9TJOWufYPvTUOTN,1.3686665,5.6564274,-5.517114
4T2dHb8XBYHlVj7Dyo1cW9,-2.0737696,-3.5398817,2.2729483
1axI5uyyrKKRqamtKllTmE,-8.830811,-0.34148696,-4.1813884
2wB5xwzugb4KyfrIwGDkE4,3.109705,-1.8711389,7.9670653
0OsYwz3SCLD98IvWfdLeRQ,-1.6078833,1.4944429,-9.858522
3LPRKQKIlwova0VkaKB1BG,0.46742496,-2.1282003,9.076402
03cElm8polfuCWxY5g5izH,0.039568998,5.8226013,-4.765093
5sT2yQrTJbs0aubnGwuuiw,3.4532728,-5.1388683,1.8819325
6klLvorLoo1sxvZcjJIY8I,-2.7002609,-3.055636,-5.8517866
3O7lxdQoe1aNWs93VSHsJg,-0.070829086,1.0772235,5.5980716
3QzAOrNlsabgbMwlZt7TAY,2.267259,1.2510016,3.6718953
4vSoyDfL0uZyUoWu5NNNsQ,-1.2964133,-2.8922207,-6.2278204
3V3JxDpiUg0RAt1Mfbn6Ht,0.21682735,-3.5339758,-6.0478168
3sA7HKGzcKTVscdiTCrWpX,-4.7859282,-3.4596343,5.432269
